Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","720.7089","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1961","1961","3050","FAO TIER 1","kilotonnes","7.7237","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","711.5384","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1962","1962","3050","FAO TIER 1","kilotonnes","7.726","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","708.1472","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1963","1963","3050","FAO TIER 1","kilotonnes","7.7305","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","712.5544","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1964","1964","3050","FAO TIER 1","kilotonnes","7.8236","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","711.7185","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1965","1965","3050","FAO TIER 1","kilotonnes","7.8554","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","731.4478","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1966","1966","3050","FAO TIER 1","kilotonnes","7.8689","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","730.6166","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1967","1967","3050","FAO TIER 1","kilotonnes","7.9679","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","740.6268","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1968","1968","3050","FAO TIER 1","kilotonnes","8.029","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","746.8921","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1969","1969","3050","FAO TIER 1","kilotonnes","8.083","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1970","1970","3050","FAO TIER 1","kilotonnes","748.2261","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1970","1970","3050","FAO TIER 1","kilotonnes","8.1592","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1971","1971","3050","FAO TIER 1","kilotonnes","760.1726","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1971","1971","3050","FAO TIER 1","kilotonnes","8.2367","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1972","1972","3050","FAO TIER 1","kilotonnes","771.6641","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1972","1972","3050","FAO TIER 1","kilotonnes","8.2936","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1973","1973","3050","FAO TIER 1","kilotonnes","770.5214","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1973","1973","3050","FAO TIER 1","kilotonnes","8.3991","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1974","1974","3050","FAO TIER 1","kilotonnes","780.3312","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1974","1974","3050","FAO TIER 1","kilotonnes","8.4761","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1975","1975","3050","FAO TIER 1","kilotonnes","786.6963","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1975","1975","3050","FAO TIER 1","kilotonnes","8.5434","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1976","1976","3050","FAO TIER 1","kilotonnes","797.9587","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1976","1976","3050","FAO TIER 1","kilotonnes","8.6323","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1977","1977","3050","FAO TIER 1","kilotonnes","807.7025","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1977","1977","3050","FAO TIER 1","kilotonnes","8.7185","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1978","1978","3050","FAO TIER 1","kilotonnes","822.1436","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1978","1978","3050","FAO TIER 1","kilotonnes","8.9207","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1979","1979","3050","FAO TIER 1","kilotonnes","842.2688","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1979","1979","3050","FAO TIER 1","kilotonnes","9.1225","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1980","1980","3050","FAO TIER 1","kilotonnes","857.1341","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1980","1980","3050","FAO TIER 1","kilotonnes","9.3318","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1981","1981","3050","FAO TIER 1","kilotonnes","873.5863","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1981","1981","3050","FAO TIER 1","kilotonnes","9.5542","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1982","1982","3050","FAO TIER 1","kilotonnes","896.1716","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1982","1982","3050","FAO TIER 1","kilotonnes","9.8202","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1983","1983","3050","FAO TIER 1","kilotonnes","913.2139","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1983","1983","3050","FAO TIER 1","kilotonnes","10.0186","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1984","1984","3050","FAO TIER 1","kilotonnes","928.8667","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1984","1984","3050","FAO TIER 1","kilotonnes","10.1644","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1985","1985","3050","FAO TIER 1","kilotonnes","941.2404","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1985","1985","3050","FAO TIER 1","kilotonnes","10.3067","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1986","1986","3050","FAO TIER 1","kilotonnes","956.8904","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1986","1986","3050","FAO TIER 1","kilotonnes","10.4732","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1987","1987","3050","FAO TIER 1","kilotonnes","960.3304","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1987","1987","3050","FAO TIER 1","kilotonnes","10.4781","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1988","1988","3050","FAO TIER 1","kilotonnes","972.8679","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1988","1988","3050","FAO TIER 1","kilotonnes","10.6312","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1989","1989","3050","FAO TIER 1","kilotonnes","985.5246","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1989","1989","3050","FAO TIER 1","kilotonnes","10.7869","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1990","1990","3050","FAO TIER 1","kilotonnes","998.8122","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1990","1990","3050","FAO TIER 1","kilotonnes","10.9567","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1991","1991","3050","FAO TIER 1","kilotonnes","1012.1877","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1991","1991","3050","FAO TIER 1","kilotonnes","11.1144","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1992","1992","3050","FAO TIER 1","kilotonnes","1030.2811","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1992","1992","3050","FAO TIER 1","kilotonnes","11.3005","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1993","1993","3050","FAO TIER 1","kilotonnes","1035.513","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1993","1993","3050","FAO TIER 1","kilotonnes","11.3929","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1994","1994","3050","FAO TIER 1","kilotonnes","1042.3262","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1994","1994","3050","FAO TIER 1","kilotonnes","11.4874","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1995","1995","3050","FAO TIER 1","kilotonnes","1048.5784","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1995","1995","3050","FAO TIER 1","kilotonnes","11.5792","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1996","1996","3050","FAO TIER 1","kilotonnes","1055.0822","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1996","1996","3050","FAO TIER 1","kilotonnes","11.6742","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1997","1997","3050","FAO TIER 1","kilotonnes","1058.1363","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1997","1997","3050","FAO TIER 1","kilotonnes","11.7391","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1998","1998","3050","FAO TIER 1","kilotonnes","1060.7572","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1998","1998","3050","FAO TIER 1","kilotonnes","11.7995","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","1999","1999","3050","FAO TIER 1","kilotonnes","1063.2334","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","1999","1999","3050","FAO TIER 1","kilotonnes","11.8637","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2000","2000","3050","FAO TIER 1","kilotonnes","1064.2359","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2000","2000","3050","FAO TIER 1","kilotonnes","11.9509","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2001","2001","3050","FAO TIER 1","kilotonnes","1070.7222","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2001","2001","3050","FAO TIER 1","kilotonnes","12.0211","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2002","2002","3050","FAO TIER 1","kilotonnes","1075.3063","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2002","2002","3050","FAO TIER 1","kilotonnes","12.0935","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2003","2003","3050","FAO TIER 1","kilotonnes","1082.2476","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2003","2003","3050","FAO TIER 1","kilotonnes","12.1913","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2004","2004","3050","FAO TIER 1","kilotonnes","1096.9671","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2004","2004","3050","FAO TIER 1","kilotonnes","12.4297","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2005","2005","3050","FAO TIER 1","kilotonnes","1113.2429","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2005","2005","3050","FAO TIER 1","kilotonnes","12.6713","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2006","2006","3050","FAO TIER 1","kilotonnes","1128.0618","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2006","2006","3050","FAO TIER 1","kilotonnes","12.9366","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2007","2007","3050","FAO TIER 1","kilotonnes","1153.5127","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2007","2007","3050","FAO TIER 1","kilotonnes","13.2027","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2008","2008","3050","FAO TIER 1","kilotonnes","1154.9739","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2008","2008","3050","FAO TIER 1","kilotonnes","13.1883","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2009","2009","3050","FAO TIER 1","kilotonnes","1156.9254","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2009","2009","3050","FAO TIER 1","kilotonnes","13.1823","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2010","2010","3050","FAO TIER 1","kilotonnes","1159.9868","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2010","2010","3050","FAO TIER 1","kilotonnes","13.1808","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2011","2011","3050","FAO TIER 1","kilotonnes","1162.1108","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2011","2011","3050","FAO TIER 1","kilotonnes","13.165","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2012","2012","3050","FAO TIER 1","kilotonnes","1163.1536","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2012","2012","3050","FAO TIER 1","kilotonnes","13.1451","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2013","2013","3050","FAO TIER 1","kilotonnes","1162.676","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2013","2013","3050","FAO TIER 1","kilotonnes","13.1252","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2014","2014","3050","FAO TIER 1","kilotonnes","1164.4663","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2014","2014","3050","FAO TIER 1","kilotonnes","13.1031","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2015","2015","3050","FAO TIER 1","kilotonnes","1173.0123","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2015","2015","3050","FAO TIER 1","kilotonnes","13.2929","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2016","2016","3050","FAO TIER 1","kilotonnes","1180.3312","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2016","2016","3050","FAO TIER 1","kilotonnes","13.3632","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2017","2017","3050","FAO TIER 1","kilotonnes","1187.8396","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2017","2017","3050","FAO TIER 1","kilotonnes","13.4451","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2018","2018","3050","FAO TIER 1","kilotonnes","1195.7458","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2018","2018","3050","FAO TIER 1","kilotonnes","13.549","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","1198.472","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7230","Emissions (N2O)","5059","Manure Management","2019","2019","3050","FAO TIER 1","kilotonnes","13.5682","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1961","1961","3050","FAO TIER 1","kilotonnes","3662.2986","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1962","1962","3050","FAO TIER 1","kilotonnes","3767.965","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1963","1963","3050","FAO TIER 1","kilotonnes","3779.9989","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1964","1964","3050","FAO TIER 1","kilotonnes","3848.9287","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1965","1965","3050","FAO TIER 1","kilotonnes","3744.2132","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1966","1966","3050","FAO TIER 1","kilotonnes","3721.0964","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1967","1967","3050","FAO TIER 1","kilotonnes","3846.3328","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1968","1968","3050","FAO TIER 1","kilotonnes","3902.1631","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1969","1969","3050","FAO TIER 1","kilotonnes","3977.5329","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1970","1970","3050","FAO TIER 1","kilotonnes","3968.1794","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1971","1971","3050","FAO TIER 1","kilotonnes","3985.7142","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1972","1972","3050","FAO TIER 1","kilotonnes","3872.765","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1973","1973","3050","FAO TIER 1","kilotonnes","4041.3654","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1974","1974","3050","FAO TIER 1","kilotonnes","3999.4995","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1975","1975","3050","FAO TIER 1","kilotonnes","4167.0241","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1976","1976","3050","FAO TIER 1","kilotonnes","4065.2321","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1977","1977","3050","FAO TIER 1","kilotonnes","4252.2321","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1978","1978","3050","FAO TIER 1","kilotonnes","4273.3019","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1979","1979","3050","FAO TIER 1","kilotonnes","4160.5739","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1980","1980","3050","FAO TIER 1","kilotonnes","4238.3928","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1981","1981","3050","FAO TIER 1","kilotonnes","4297.1787","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1982","1982","3050","FAO TIER 1","kilotonnes","4038.9367","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1983","1983","3050","FAO TIER 1","kilotonnes","4353.7166","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1984","1984","3050","FAO TIER 1","kilotonnes","4344.7229","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1985","1985","3050","FAO TIER 1","kilotonnes","4342.4428","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1986","1986","3050","FAO TIER 1","kilotonnes","4345.5573","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1987","1987","3050","FAO TIER 1","kilotonnes","4096.3935","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1988","1988","3050","FAO TIER 1","kilotonnes","4405.6319","Fc","Calculated data",""
"GT","Emissions Totals","100","India","7225","Emissions (CH4)","5060","Rice Cultivation","1989","1989","3050","FAO TIER 1","kilotonnes","4451.1375","Fc","Calculated data",""
